"fin" "slice" "csa" "NA" "NA"
"Aligned_ray2_d" 28 0.072731642 0.00022205 0.001076004
"Aligned_ray2_d" 29 0.072731642 0.00022205 0.001076004
"Aligned_ray2_d" 30 0.041560938 0.000143943 0.000359857
"Aligned_ray2_d" 31 0.041560938 0.000143943 0.000359857
"Aligned_ray2_d" 32 0.031170704 4.2429e-05 0.000299435
"Aligned_ray2_d" 33 0.051951173 0.000128652 0.000609054
"Aligned_ray2_d" 34 0.062341407 0.000198774 0.000646889
"Aligned_ray2_d" 35 0.072731642 0.000335298 0.000931911
"Aligned_ray2_d" 36 0.072731642 0.000335298 0.000931911
"Aligned_ray2_d" 37 0.062341407 0.000277481 0.000622161
"Aligned_ray2_d" 38 0.083121876 0.000550979 0.000874952
"Aligned_ray2_d" 39 0.083121876 0.000521931 0.000701582
"Aligned_ray2_d" 40 0.072731642 0.00045039 0.000477526
"Aligned_ray2_d" 41 0.072731642 0.00045039 0.000477526
"Aligned_ray2_d" 42 0.051951173 0.000162244 0.000359548
"Aligned_ray2_d" 43 0.041560938 0.000143943 0.000143943
"Aligned_ray2_d" 44 0.041560938 0.000143943 0.000143943
"Aligned_ray2_d" 45 0.041560938 0.000143943 0.000143943
"Aligned_ray2_d" 46 0.051951173 0.000162244 0.000359548
"Aligned_ray2_d" 47 0.051951173 0.000162244 0.000359548
"Aligned_ray2_d" 48 0.062341407 0.000269892 0.000449821
"Aligned_ray2_d" 49 0.072731642 0.00045039 0.000477526
"Aligned_ray2_d" 50 0.072731642 0.00045039 0.000477526
"Aligned_ray2_d" 51 0.072731642 0.00045039 0.000477526
"Aligned_ray2_d" 52 0.072731642 0.00045039 0.000477526
"Aligned_ray2_d" 53 0.072731642 0.00045039 0.000477526
"Aligned_ray2_d" 54 0.051951173 0.000162244 0.000359548
"Aligned_ray2_d" 55 0.041560938 0.000143943 0.000143943
"Aligned_ray2_d" 56 0.051951173 0.000102327 0.000678561
"Aligned_ray2_d" 57 0.020780469 2.2526e-05 6.7438e-05
"Aligned_ray2_d" 58 0.041560938 0.000143943 0.000143943
"Aligned_ray2_d" 59 0.041560938 0.000143943 0.000143943
"Aligned_ray2_d" 60 0.041560938 0.000135511 0.000341299
"Aligned_ray2_d" 61 0.051951173 0.000216442 0.000521264
"Aligned_ray2_d" 62 0.051951173 0.000216442 0.000521264
"Aligned_ray2_d" 63 0.083121876 0.000395842 0.001043584
"Aligned_ray2_d" 64 0.083121876 0.000395842 0.001043584
"Aligned_ray2_d" 65 0.072731642 0.000296967 0.000816018
"Aligned_ray2_d" 66 0.062341407 0.000233907 0.000593763
"Aligned_ray2_d" 67 0.051951173 0.000162244 0.000359548
"Aligned_ray2_d" 68 0.062341407 0.000269892 0.000449821
"Aligned_ray2_d" 69 0.051951173 0.000162244 0.000359548
"Aligned_ray2_d" 70 0.051951173 0.000162244 0.000359548
"Aligned_ray2_d" 71 0.041560938 0.000143943 0.000143943
"Aligned_ray2_d" 72 0.041560938 0.000143943 0.000143943
"Aligned_ray2_d" 73 0.041560938 0.000143943 0.000143943
"Aligned_ray2_d" 74 0.041560938 0.000143943 0.000143943
"Aligned_ray2_d" 75 0.051951173 0.000162244 0.000359548
"Aligned_ray2_d" 76 0.051951173 0.000162244 0.000359548
"Aligned_ray2_d" 77 0.041560938 0.000143943 0.000143943
"Aligned_ray2_d" 78 0.041560938 0.000143943 0.000143943
"Aligned_ray2_d" 79 0.041560938 0.000143943 0.000143943
"Aligned_ray2_d" 80 0.020780469 2.2526e-05 6.7438e-05
"Aligned_ray2_d" 81 0.031170704 6.2975e-05 0.000134946
"Aligned_ray2_d" 82 0.051951173 0.000216442 0.000521264
"Aligned_ray2_d" 83 0.062341407 0.000273381 0.000716224
"Aligned_ray2_d" 84 0.062341407 0.000273381 0.000716224
"Aligned_ray2_d" 85 0.051951173 0.000260896 0.000260896
"Aligned_ray2_d" 86 0.051951173 0.000260896 0.000260896
"Aligned_ray2_d" 87 0.051951173 0.000260896 0.000260896
"Aligned_ray2_d" 88 0.031170704 0.000103543 0.000238321
"Aligned_ray2_d" 89 0.031170704 6.2975e-05 0.000134946
"Aligned_ray2_d" 90 0.051951173 0.000156584 0.000365208
"Aligned_ray2_d" 91 0.031170704 6.2975e-05 0.000134946
"Aligned_ray2_d" 92 0.031170704 6.2975e-05 0.000134946
"Aligned_ray2_d" 93 0.031170704 6.2975e-05 0.000134946
"Aligned_ray2_d" 94 0.020780469 1.7993e-05 0.00012595
"Aligned_ray2_d" 95 0.010390235 8.996e-06 8.996e-06
"Aligned_ray2_d" 96 0.010390235 8.996e-06 8.996e-06
"Aligned_ray2_d" 97 0.031170704 6.2975e-05 0.000134946
"Aligned_ray2_d" 98 0.031170704 6.2975e-05 0.000134946
"Aligned_ray2_d" 99 0.020780469 2.2526e-05 6.7438e-05
"Aligned_ray2_d" 100 0.031170704 3.0213e-05 0.00023968
"Aligned_ray2_d" 101 0.041560938 0.000124891 0.000243962
"Aligned_ray2_d" 102 0.051951173 0.000260896 0.000260896
"Aligned_ray2_d" 103 0.051951173 0.000260896 0.000260896
"Aligned_ray2_d" 104 0.051951173 0.000260896 0.000260896
"Aligned_ray2_d" 105 0.051951173 0.000260896 0.000260896
"Aligned_ray2_d" 106 0.051951173 0.000260896 0.000260896
"Aligned_ray2_d" 107 0.051951173 0.000260896 0.000260896
"Aligned_ray2_d" 108 0.051951173 0.000260896 0.000260896
"Aligned_ray2_d" 109 0.051951173 0.000260896 0.000260896
"Aligned_ray2_d" 110 0.031170704 0.000103543 0.000238321
"Aligned_ray2_d" 111 0.051951173 0.000216442 0.000521264
"Aligned_ray2_d" 112 0.051951173 0.000216442 0.000521264
"Aligned_ray2_d" 113 0.041560938 0.000124891 0.000243962
"Aligned_ray2_d" 114 0.041560938 0.000124891 0.000243962
"Aligned_ray2_d" 115 0.031170704 0.000103543 0.000238321
"Aligned_ray2_d" 116 0.031170704 6.2975e-05 0.000134946
"Aligned_ray2_d" 117 0.031170704 6.2975e-05 0.000134946
"Aligned_ray2_d" 118 0.031170704 6.2975e-05 0.000134946
"Aligned_ray2_d" 119 0.031170704 6.2975e-05 0.000134946
"Aligned_ray2_d" 120 0.041560938 0.000143943 0.000143943
"Aligned_ray2_d" 121 0.041560938 0.000143943 0.000143943
"Aligned_ray2_d" 122 0.041560938 0.000143943 0.000143943
"Aligned_ray2_d" 123 0.031170704 6.2975e-05 0.000134946
"Aligned_ray2_d" 124 0.031170704 6.2975e-05 0.000134946
"Aligned_ray2_v" 7 0.051951173 0.000162244 0.000359548
"Aligned_ray2_v" 8 0.051951173 0.000162244 0.000359548
"Aligned_ray2_v" 9 0.051951173 0.000156584 0.000365208
"Aligned_ray2_v" 10 0.062341407 0.000233907 0.000593763
"Aligned_ray2_v" 11 0.062341407 0.000384351 0.000389341
"Aligned_ray2_v" 12 0.062341407 0.000269892 0.000449821
"Aligned_ray2_v" 13 0.051951173 0.000162244 0.000359548
"Aligned_ray2_v" 14 0.062341407 0.000225566 0.000476155
"Aligned_ray2_v" 15 0.062341407 0.000225566 0.000476155
"Aligned_ray2_v" 16 0.062341407 0.000225566 0.000476155
"Aligned_ray2_v" 17 0.051951173 0.000156584 0.000365208
"Aligned_ray2_v" 18 0.051951173 0.000109756 0.000584767
"Aligned_ray2_v" 19 0.051951173 0.000152939 0.000541584
"Aligned_ray2_v" 20 0.041560938 0.000143943 0.000143943
"Aligned_ray2_v" 21 0.062341407 0.000225566 0.000476155
"Aligned_ray2_v" 22 0.072731642 0.00045039 0.000477526
"Aligned_ray2_v" 23 0.051951173 0.000156584 0.000365208
"Aligned_ray2_v" 24 0.041560938 0.000143943 0.000143943
"Aligned_ray2_v" 25 0.041560938 0.000143943 0.000143943
"Aligned_ray2_v" 26 0.041560938 7.7885e-05 0.000317957
"Aligned_ray2_v" 27 0.051951173 0.000190622 0.000417535
"Aligned_ray2_v" 28 0.062341407 0.00019939 0.000808208
"Aligned_ray2_v" 29 0.051951173 0.000190622 0.000417535
"Aligned_ray2_v" 30 0.041560938 9.4116e-05 0.000355704
"Aligned_ray2_v" 31 0.062341407 0.000225566 0.000476155
"Aligned_ray2_v" 32 0.062341407 0.000225566 0.000476155
"Aligned_ray2_v" 33 0.062341407 0.000225566 0.000476155
"Aligned_ray2_v" 34 0.062341407 0.000233907 0.000593763
"Aligned_ray2_v" 35 0.051951173 0.00018845 0.000419708
"Aligned_ray2_v" 36 0.041560938 0.000124891 0.000243962
"Aligned_ray2_v" 37 0.041560938 0.000143943 0.000143943
"Aligned_ray2_v" 38 0.041560938 0.000143943 0.000143943
"Aligned_ray2_v" 39 0.041560938 0.000143943 0.000143943
"Aligned_ray2_v" 40 0.041560938 0.000143943 0.000143943
"Aligned_ray2_v" 41 0.041560938 0.000143943 0.000143943
"Aligned_ray2_v" 42 0.062341407 0.000269892 0.000449821
"Aligned_ray2_v" 43 0.051951173 0.00018845 0.000419708
"Aligned_ray2_v" 44 0.051951173 0.000190622 0.000417535
"Aligned_ray2_v" 45 0.041560938 0.000124891 0.000243962
"Aligned_ray2_v" 46 0.051951173 0.000102327 0.000678561
"Aligned_ray2_v" 47 0.062341407 0.000166289 0.000697367
"Aligned_ray2_v" 48 0.051951173 0.000156584 0.000365208
"Aligned_ray2_v" 49 0.051951173 0.000156584 0.000365208
"Aligned_ray2_v" 50 0.051951173 0.000156584 0.000365208
"Aligned_ray2_v" 51 0.072731642 0.000366927 0.000684368
"Aligned_ray2_v" 52 0.041560938 0.000143943 0.000143943
"Aligned_ray2_v" 53 0.041560938 0.000143943 0.000143943
"Aligned_ray2_v" 54 0.041560938 0.000143943 0.000143943
"Aligned_ray2_v" 55 0.041560938 0.000143943 0.000143943
"Aligned_ray2_v" 56 0.041560938 0.000143943 0.000143943
"Aligned_ray2_v" 57 0.051951173 0.000162244 0.000359548
"Aligned_ray2_v" 58 0.051951173 0.00018845 0.000419708
"Aligned_ray2_v" 59 0.051951173 0.00018845 0.000419708
"Aligned_ray2_v" 60 0.051951173 0.000260896 0.000260896
"Aligned_ray2_v" 61 0.051951173 0.000162244 0.000359548
"Aligned_ray2_v" 62 0.051951173 0.000162244 0.000359548
"Aligned_ray2_v" 63 0.041560938 7.9168e-05 0.000316674
"Aligned_ray2_v" 64 0.041560938 7.9168e-05 0.000316674
"Aligned_ray2_v" 65 0.041560938 0.000143943 0.000143943
"Aligned_ray2_v" 66 0.031170704 6.2975e-05 0.000134946
"Aligned_ray2_v" 67 0.051951173 0.000109756 0.000584767
"Aligned_ray2_v" 68 0.051951173 0.000156584 0.000365208
"Aligned_ray2_v" 69 0.062341407 0.000225566 0.000476155
"Aligned_ray2_v" 70 0.062341407 0.000225566 0.000476155
"Aligned_ray2_v" 71 0.062341407 0.000225566 0.000476155
"Aligned_ray2_v" 72 0.062341407 0.000225566 0.000476155
"Aligned_ray2_v" 73 0.072731642 0.00045039 0.000477526
"Aligned_ray2_v" 74 0.072731642 0.000210575 0.001149168
"Aligned_ray2_v" 75 0.083121876 0.000362264 0.00115813
"Aligned_ray2_v" 76 0.083121876 0.00047681 0.000719713
"Aligned_ray2_v" 77 0.062341407 0.000225566 0.000476155
"Aligned_ray2_v" 78 0.062341407 0.000225566 0.000476155
"Aligned_ray2_v" 79 0.062341407 0.000225566 0.000476155
"Aligned_ray2_v" 80 0.051951173 0.000162244 0.000359548
"Aligned_ray2_v" 81 0.051951173 0.000162244 0.000359548
"Aligned_ray2_v" 82 0.051951173 0.000156584 0.000365208
"Aligned_ray2_v" 83 0.041560938 7.7885e-05 0.000317957
"Aligned_ray2_v" 84 0.041560938 0.000143943 0.000143943
"Aligned_ray2_v" 85 0.020780469 2.2526e-05 6.7438e-05
"Aligned_ray2_v" 86 0.031170704 6.2975e-05 0.000134946
"Aligned_ray2_v" 87 0.041560938 0.000143943 0.000143943
"Aligned_ray2_v" 88 0.041560938 0.000143943 0.000143943
"Aligned_ray2_v" 89 0.041560938 0.000143943 0.000143943
"Aligned_ray2_v" 90 0.051951173 0.000162244 0.000359548
"Aligned_ray2_v" 91 0.041560938 7.7885e-05 0.000317957
"Aligned_ray2_v" 92 0.041560938 0.000143943 0.001871254
"Aligned_ray2_v" 93 0.031170704 3.0213e-05 0.00023968
"Aligned_ray2_v" 94 0.041560938 0.000124891 0.000243962
"Aligned_ray2_v" 95 0.041560938 0.000124891 0.000243962
"Aligned_ray2_v" 96 0.041560938 0.000124891 0.000243962
"Aligned_ray2_v" 97 0.072731642 0.000240623 0.000872362
"Aligned_ray2_v" 98 0.062341407 0.000166289 0.000697367
"Aligned_ray2_v" 99 0.072731642 0.000353041 0.000667409
"Aligned_ray2_v" 100 0.051951173 0.000152939 0.000541584
"Aligned_ray2_v" 101 0.051951173 0.000156584 0.000365208
"Aligned_ray2_v" 102 0.051951173 0.000156584 0.000365208
"Aligned_ray2_v" 103 0.062341407 0.000269892 0.000449821
"Aligned_ray2_v" 104 0.062341407 0.000225566 0.000476155
