fin	slice	csa	second_moment_min	second_moment_max
Aligned_pair2_d	49	1.74	0.182	0.329
Aligned_pair2_d	50	1.755	0.184	0.335
Aligned_pair2_d	51	1.77	0.181	0.352
Aligned_pair2_d	52	1.779	0.185	0.351
Aligned_pair2_d	53	1.819	0.199	0.354
Aligned_pair2_d	54	1.838	0.205	0.357
Aligned_pair2_d	55	1.872	0.211	0.374
Aligned_pair2_d	56	1.902	0.225	0.376
Aligned_pair2_d	57	1.877	0.226	0.356
Aligned_pair2_d	58	1.882	0.223	0.365
Aligned_pair2_d	59	1.887	0.224	0.365
Aligned_pair2_d	60	1.907	0.221	0.387
Aligned_pair2_d	61	1.912	0.228	0.38
Aligned_pair2_d	62	1.926	0.227	0.397
Aligned_pair2_d	63	1.907	0.226	0.384
Aligned_pair2_d	64	1.872	0.223	0.359
Aligned_pair2_d	65	1.887	0.22	0.372
Aligned_pair2_d	66	1.814	0.198	0.353
Aligned_pair2_d	67	1.765	0.18	0.346
Aligned_pair2_d	68	1.711	0.161	0.343
Aligned_pair2_d	69	1.686	0.157	0.332
Aligned_pair2_d	70	1.671	0.15	0.336
Aligned_pair2_d	71	1.686	0.153	0.343
Aligned_pair2_d	72	1.667	0.146	0.343
Aligned_pair2_d	73	1.657	0.15	0.324
Aligned_pair2_d	74	1.72	0.165	0.345
Aligned_pair2_d	75	1.755	0.175	0.352
Aligned_pair2_d	76	1.784	0.184	0.358
Aligned_pair2_d	77	1.735	0.177	0.333
Aligned_pair2_d	78	1.716	0.169	0.335
Aligned_pair2_d	79	1.691	0.164	0.325
Aligned_pair2_d	80	1.686	0.16	0.332
Aligned_pair2_d	81	1.671	0.157	0.323
Aligned_pair2_d	82	1.622	0.146	0.308
Aligned_pair2_d	83	1.583	0.14	0.293
Aligned_pair2_d	84	1.578	0.14	0.289
Aligned_pair2_d	85	1.539	0.127	0.289
Aligned_pair2_d	86	1.515	0.118	0.289
Aligned_pair2_d	87	1.485	0.112	0.28
Aligned_pair2_d	88	1.485	0.109	0.291
Aligned_pair2_d	89	1.461	0.106	0.279
Aligned_pair2_d	90	1.412	0.095	0.27
Aligned_pair2_d	91	1.466	0.101	0.295
Aligned_pair2_d	92	1.412	0.088	0.294
Aligned_pair2_d	93	1.377	0.089	0.268
Aligned_pair2_d	94	1.382	0.092	0.261
Aligned_pair2_d	95	1.377	0.091	0.263
Aligned_pair2_d	96	1.407	0.095	0.274
Aligned_pair2_d	97	1.382	0.089	0.275
Aligned_pair2_d	98	1.382	0.088	0.279
Aligned_pair2_d	99	1.397	0.094	0.269
Aligned_pair2_d	100	1.387	0.094	0.266
Aligned_pair2_d	101	1.426	0.102	0.278
Aligned_pair2_d	102	1.392	0.101	0.257
Aligned_pair2_d	103	1.431	0.105	0.28
Aligned_pair2_d	104	1.485	0.118	0.286
Aligned_pair2_d	105	1.485	0.118	0.283
Aligned_pair2_d	106	1.529	0.125	0.303
Aligned_pair2_d	107	1.539	0.125	0.308
Aligned_pair2_d	108	1.524	0.121	0.305
Aligned_pair2_d	109	1.431	0.108	0.265
Aligned_pair2_d	110	1.382	0.103	0.24
Aligned_pair2_d	111	1.348	0.097	0.229
Aligned_pair2_d	112	1.221	0.085	0.183
Aligned_pair2_d	113	0.373	0.017	0.033
Aligned_pair2_v	11	1.044	0.048	0.173
Aligned_pair2_v	12	1.108	0.056	0.184
Aligned_pair2_v	13	1.118	0.06	0.175
Aligned_pair2_v	14	1.098	0.056	0.172
Aligned_pair2_v	15	1.118	0.057	0.184
Aligned_pair2_v	16	1.127	0.057	0.184
Aligned_pair2_v	17	1.176	0.061	0.207
Aligned_pair2_v	18	1.216	0.07	0.21
Aligned_pair2_v	19	1.26	0.081	0.206
Aligned_pair2_v	20	1.328	0.09	0.233
Aligned_pair2_v	21	1.353	0.093	0.246
Aligned_pair2_v	22	1.387	0.099	0.252
Aligned_pair2_v	23	1.402	0.105	0.247
Aligned_pair2_v	24	1.412	0.111	0.238
Aligned_pair2_v	25	1.417	0.115	0.233
Aligned_pair2_v	26	1.412	0.114	0.231
Aligned_pair2_v	27	1.461	0.125	0.242
Aligned_pair2_v	28	1.451	0.12	0.245
Aligned_pair2_v	29	1.466	0.123	0.245
Aligned_pair2_v	30	1.451	0.12	0.239
Aligned_pair2_v	31	1.461	0.12	0.246
Aligned_pair2_v	32	1.475	0.125	0.248
Aligned_pair2_v	33	1.554	0.134	0.284
Aligned_pair2_v	34	1.559	0.132	0.291
Aligned_pair2_v	35	1.573	0.134	0.298
Aligned_pair2_v	36	1.554	0.138	0.277
Aligned_pair2_v	37	1.569	0.146	0.272
Aligned_pair2_v	38	1.593	0.148	0.281
Aligned_pair2_v	39	1.588	0.149	0.28
Aligned_pair2_v	40	1.603	0.154	0.28
Aligned_pair2_v	41	1.598	0.154	0.277
Aligned_pair2_v	42	1.598	0.158	0.271
Aligned_pair2_v	43	1.652	0.173	0.283
Aligned_pair2_v	44	1.686	0.178	0.298
Aligned_pair2_v	45	1.686	0.177	0.297
Aligned_pair2_v	46	1.613	0.178	0.248
Aligned_pair2_v	47	1.632	0.182	0.254
Aligned_pair2_v	48	1.588	0.17	0.244
Aligned_pair2_v	49	1.627	0.173	0.263
Aligned_pair2_v	50	1.637	0.177	0.265
Aligned_pair2_v	51	1.647	0.178	0.27
Aligned_pair2_v	52	1.657	0.181	0.275
Aligned_pair2_v	53	1.676	0.176	0.294
Aligned_pair2_v	54	1.701	0.178	0.311
Aligned_pair2_v	55	1.72	0.18	0.321
