"fin" "slice" "csa" "second_moment_min" "second_moment_max"
"Aligned_ray1_v" 126 0.044 0.000126 0.000588
"Aligned_ray1_v" 127 0.045 0.000131 0.000624
"Aligned_ray1_v" 128 0.05 0.000162 0.000699
"Aligned_ray1_v" 129 0.047 0.000142 0.000626
"Aligned_ray1_v" 130 0.048 0.000136 0.000677
"Aligned_ray1_v" 131 0.047 0.000151 0.000619
"Aligned_ray1_v" 132 0.044 0.000121 0.000565
"Aligned_ray1_v" 133 0.045 0.000131 0.000578
"Aligned_ray1_v" 134 0.045 0.000141 0.000586
"Aligned_ray1_v" 135 0.047 0.00014 0.00061
"Aligned_ray1_v" 136 0.05 0.00016 0.000724
"Aligned_ray1_v" 137 0.049 0.000157 0.000737
"Aligned_ray1_v" 138 0.051 0.000152 0.000741
"Aligned_ray1_v" 139 0.05 0.000155 0.000684
"Aligned_ray1_v" 140 0.045 0.000128 0.000634
"Aligned_ray1_v" 141 0.046 0.000129 0.000664
"Aligned_ray1_v" 142 0.047 0.000139 0.000704
"Aligned_ray1_v" 143 0.044 0.000133 0.000627
"Aligned_ray1_v" 144 0.047 0.00014 0.000671
"Aligned_ray1_v" 145 0.05 0.00016 0.000727
"Aligned_ray1_v" 146 0.05 0.000172 0.000757
"Aligned_ray1_v" 147 0.051 0.000167 0.000779
"Aligned_ray1_v" 148 0.048 0.000143 0.000736
"Aligned_ray1_v" 149 0.048 0.000137 0.000717
"Aligned_ray1_v" 150 0.053 0.000167 0.000807
"Aligned_ray1_v" 151 0.055 0.000181 0.000856
"Aligned_ray1_v" 152 0.059 0.000193 0.000898
"Aligned_ray1_v" 153 0.064 0.000225 0.000868
"Aligned_ray1_v" 154 0.06 0.000226 0.000665
"Aligned_ray1_v" 155 0.065 0.000232 0.000813
"Aligned_ray1_v" 156 0.066 0.00025 0.000924
"Aligned_ray1_v" 157 0.065 0.000232 0.000927
"Aligned_ray1_v" 158 0.066 0.000234 0.000967
"Aligned_ray1_v" 159 0.069 0.000252 0.001
"Aligned_ray1_v" 160 0.06 0.000215 0.000925
"Aligned_ray1_v" 161 0.059 0.000201 0.000926
"Aligned_ray1_v" 162 0.057 0.000196 0.000926
"Aligned_ray1_v" 163 0.053 0.00019 0.000859
"Aligned_ray1_v" 164 0.052 0.000176 0.000808
"Aligned_ray1_v" 165 0.051 0.000156 0.000781
"Aligned_ray1_v" 166 0.046 0.000133 0.000727
"Aligned_ray1_v" 167 0.047 0.000138 0.000713
"Aligned_ray1_v" 168 0.047 0.000132 0.00068
"Aligned_ray1_v" 169 0.047 0.00013 0.000674
"Aligned_ray1_v" 170 0.049 0.000137 0.000687
"Aligned_ray1_v" 171 0.05 0.000142 0.000716
"Aligned_ray1_v" 172 0.045 0.000135 0.000577
"Aligned_ray1_v" 173 0.045 0.000113 0.000608
"Aligned_ray1_v" 174 0.042 0.000112 0.000529
"Aligned_ray1_v" 175 0.041 0.000105 0.000534
"Aligned_ray1_v" 176 0.047 0.000123 0.000631
"Aligned_ray1_v" 177 0.044 0.000125 0.000559
"Aligned_ray1_v" 178 0.046 0.000139 0.000569
"Aligned_ray1_v" 179 0.043 0.000133 0.000565
"Aligned_ray1_v" 180 0.042 0.000117 0.000523
"Aligned_ray1_v" 181 0.042 0.000118 0.000532
"Aligned_ray1_v" 182 0.04 0.000108 0.000515
"Aligned_ray1_v" 183 0.041 0.000119 0.000497
"Aligned_ray1_v" 184 0.043 0.000126 0.00055
"Aligned_ray1_v" 185 0.041 0.000109 0.000535
"Aligned_ray1_v" 186 0.042 0.000107 0.000557
"Aligned_ray1_v" 187 0.042 0.000107 0.000564
"Aligned_ray1_v" 188 0.041 1e-04 0.000535
"Aligned_ray1_v" 189 0.044 0.000117 0.000602
"Aligned_ray1_v" 190 0.043 0.00011 0.000583
"Aligned_ray1_v" 191 0.039 8.72e-05 0.000513
"Aligned_ray1_v" 192 0.04 8.84e-05 0.000514
"Aligned_ray1_v" 193 0.04 8.93e-05 0.000522
